#,Company,Symbol,Weight,      Price,Chg,% Chg
83,Gilead Sciences Inc.,GILD,0.25699,   59.10,-0.53,(-0.89%)
84,Morgan Stanley,MS,0.256257,   51.70,-0.5,(-0.96%)
85,Booking Holdings Inc.,BKNG,0.248792,"   1,783.75",15.44,-0.87%
86,Colgate-Palmolive Company,CL,0.243804,   83.03,0.02,-0.02%
87,Automatic Data Processing Inc.,ADP,0.240467,   166.23,3.52,-2.16%
88,Goldman Sachs Group Inc.,GS,0.240053,   201.26,-1.7,(-0.84%)
89,Dominion Energy Inc,D,0.240008,   83.30,0.16,-0.19%
90,General Electric Company,GE,0.239117,   8.09,0.1,-1.25%
91,Altria Group Inc,MO,0.238325,   37.28,-0.03,(-0.08%)
92,Duke Energy Corporation,DUK,0.238094,   94.25,0.03,-0.03%
93,Equinix Inc.,EQIX,0.237676,   794.39,13.34,-1.71%
94,Stryker Corporation,SYK,0.236591,   213.44,2.84,-1.35%
95,T-Mobile US Inc.,TMUS,0.23448,   123.28,6.02,-5.13%
96,Crown Castle International Corp,CCI,0.234075,   164.07,1.15,-0.71%
97,Becton Dickinson and Company,BDX,0.233825,   236.00,1.35,-0.58%
98,FedEx Corporation,FDX,0.231233,   279.51,0.44,-0.16%
99,Air Products and Chemicals Inc.,APD,0.229454,   306.72,3.38,-1.11%
100,CSX Corporation,CSX,0.228856,   86.18,-0.85,(-0.98%)
101,TJX Companies Inc,TJX,0.224996,   53.92,-0.69,(-1.26%)
102,American Express Company,AXP,0.219957,   96.86,-1.25,(-1.27%)
103,Applied Materials Inc.,AMAT,0.219609,   70.54,0.59,-0.84%
104,Southern Company,SO,0.218354,   59.96,-0.21,(-0.35%)
105,Activision Blizzard Inc.,ATVI,0.212901,   78.86,-1.28,(-1.60%)
106,Chubb Limited,CB,0.212531,   138.50,1.77,-1.29%
107,Regeneron Pharmaceuticals Inc.,REGN,0.211589,   578.03,-10.78,(-1.83%)
108,Charles Schwab Corporation,SCHW,0.210835,   41.46,0.01,-0.02%
109,Micron Technology Inc.,MU,0.208427,   55.29,0.71,-1.30%
110,Truist Financial Corporation,TFC,0.208048,   42.99,-1.94,(-4.32%)
111,Illinois Tool Works Inc.,ITW,0.2065,   209.42,0.54,-0.26%
112,Sherwin-Williams Company,SHW,0.205607,   736.10,6.28,-0.86%
113,Humana Inc.,HUM,0.19999,   432.55,-8.24,(-1.87%)
114,Lam Research Corporation,LRCX,0.198347,   409.42,9.71,-2.43%
115,Norfolk Southern Corporation,NSC,0.19802,   223.16,-2.63,(-1.16%)
116,Vertex Pharmaceuticals Incorporated,VRTX,0.19617,   220.29,0.81,-0.37%
117,Progressive Corporation,PGR,0.195196,   97.91,0.62,-0.64%
118,Fiserv Inc.,FISV,0.195192,   103.07,0.91,-0.89%
119,Intercontinental Exchange Inc.,ICE,0.194793,   100.50,-0.46,(-0.46%)
